method,tau,elapsed_s,global,bal_acc,std,MEL,NV,BCC,AK,BKL,DF,VASC,SCC
FL_baseline,,23.96,0.7247368421052631,0.49198538181146134,0.20808039648640067,0.584070796460177,0.8870466321243523,0.72,0.35384615384615387,0.467005076142132,0.2777777777777778,0.2631578947368421,0.3829787234042553
FL_tau-norm,0.25,28.58,0.7257894736842105,0.48413276067156735,0.21846866358821154,0.5811209439528023,0.8911917098445595,0.724,0.3384615384615385,0.467005076142132,0.2777777777777778,0.21052631578947367,0.3829787234042553
FL_tau-norm,0.5,22.08,0.728421052631579,0.4849116975019279,0.22006820349141082,0.5781710914454278,0.8963730569948186,0.728,0.3384615384615385,0.467005076142132,0.2777777777777778,0.21052631578947367,0.3829787234042553
FL_tau-norm,0.75,23.76,0.7305263157894737,0.48545642053536414,0.2209374371742299,0.5722713864306784,0.9015544041450777,0.728,0.3384615384615385,0.4720812182741117,0.2777777777777778,0.21052631578947367,0.3829787234042553
FL_tau-norm,1.0,28.72,0.7305263157894737,0.4807591208505522,0.22475391283088253,0.5693215339233039,0.9046632124352332,0.732,0.3230769230769231,0.467005076142132,0.2777777777777778,0.21052631578947367,0.3617021276595745
FL_tau-norm,1.25,28.65,0.7289473684210527,0.4676091433036356,0.23563119070762828,0.5634218289085545,0.9088082901554404,0.736,0.3076923076923077,0.4517766497461929,0.2222222222222222,0.21052631578947367,0.3404255319148936
FL_tau-norm,1.5,39.06,0.7278947368421053,0.46572719423481257,0.23658052109497224,0.5575221238938053,0.910880829015544,0.74,0.3076923076923077,0.4365482233502538,0.2222222222222222,0.21052631578947367,0.3404255319148936
FL_tau-norm,2.0,39.86,0.7215789473684211,0.45393769831007985,0.24057524521245743,0.5486725663716814,0.9119170984455959,0.736,0.27692307692307694,0.40609137055837563,0.2222222222222222,0.21052631578947367,0.3191489361702128
FL_logit-adj,0.25,0.0009,0.13578947368421052,0.3884105930243772,0.2693638607799572,0.23008849557522124,0.010362694300518135,0.244,0.36923076923076925,0.15736040609137056,0.7222222222222222,0.8421052631578947,0.5319148936170213
FL_logit-adj,0.5,0.0006,0.02526315789473684,0.22805175103607356,0.2922854411289753,0.0,0.0,0.0,0.13846153846153847,0.0,0.7777777777777778,0.631578947368421,0.2765957446808511
FL_logit-adj,1.0,0.0002,0.01631578947368421,0.18983296005972378,0.3067265508983281,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.5789473684210527,0.10638297872340426
FL_logit-adj,1.5,0.0002,0.014210526315789474,0.18421052631578946,0.3451283433843158,0.0,0.0,0.0,0.0,0.0,1.0,0.47368421052631576,0.0
FL_logit-adj,2.0,0.0002,0.014210526315789474,0.18421052631578946,0.3451283433843158,0.0,0.0,0.0,0.0,0.0,1.0,0.47368421052631576,0.0
